rho,seed,num_clients,cohort_size,num_cohorts,byzantine_frac,n_byzantine,rho_star_theory,f1,precision,recall,auc,posterior_gap,tp,fp,fn,tn,test_mse,mean_posterior_byz,mean_posterior_hon,run_seconds,error
0.050000,11,100,10,5,0.200000,20,0.111111,0.289474,0.196429,0.550000,0.497188,-0.001033,11,45,9,35,0.013339,0.141916,0.142949,10.160412,
0.050000,23,100,10,5,0.200000,20,0.111111,0.372093,0.242424,0.800000,0.622500,0.031721,16,50,4,30,0.011148,0.191791,0.160070,5.955199,
0.050000,47,100,10,5,0.200000,20,0.111111,0.259740,0.175439,0.500000,0.460312,-0.011738,10,47,10,33,0.015891,0.132489,0.144227,5.551493,
0.050000,91,100,10,5,0.200000,20,0.111111,0.266667,0.181818,0.500000,0.505000,0.001394,10,45,10,35,0.011122,0.141321,0.139927,5.821169,
0.050000,137,100,10,5,0.200000,20,0.111111,0.384615,0.258621,0.750000,0.606875,0.023345,15,43,5,37,0.009675,0.172808,0.149463,5.457586,
0.100000,11,100,10,10,0.200000,20,0.111111,0.271186,0.205128,0.400000,0.505937,0.004236,8,31,12,49,0.011258,0.128490,0.124254,5.425741,
0.100000,23,100,10,10,0.200000,20,0.111111,0.310345,0.236842,0.450000,0.621563,0.028026,9,29,11,51,0.010926,0.166405,0.138379,5.777817,
0.100000,47,100,10,10,0.200000,20,0.111111,0.188679,0.151515,0.250000,0.524687,0.009058,5,28,15,52,0.010400,0.130191,0.121134,5.553601,
0.100000,91,100,10,10,0.200000,20,0.111111,0.264706,0.187500,0.450000,0.585313,0.087350,9,39,11,41,0.012370,0.229562,0.142213,5.559430,
0.100000,137,100,10,10,0.200000,20,0.111111,0.415094,0.333333,0.550000,0.712500,0.050973,11,22,9,58,0.009710,0.159904,0.108931,5.793465,
0.150000,11,100,10,15,0.200000,20,0.111111,0.285714,0.241379,0.350000,0.545937,0.009855,7,22,13,58,0.011910,0.120576,0.110721,6.136276,
0.150000,23,100,10,15,0.200000,20,0.111111,0.326531,0.275862,0.400000,0.647813,0.033389,8,21,12,59,0.010961,0.159938,0.126549,5.802357,
0.150000,47,100,10,15,0.200000,20,0.111111,0.212766,0.185185,0.250000,0.583438,0.024435,5,22,15,58,0.010529,0.133504,0.109069,6.178478,
0.150000,91,100,10,15,0.200000,20,0.111111,0.241379,0.184211,0.350000,0.602187,0.087204,7,31,13,49,0.013438,0.224574,0.137371,5.430353,
0.150000,137,100,10,15,0.200000,20,0.111111,0.382979,0.333333,0.450000,0.757812,0.058894,9,18,11,62,0.009633,0.157656,0.098762,5.583994,
0.200000,11,100,10,20,0.200000,20,0.111111,0.325581,0.304348,0.350000,0.625313,0.029293,7,16,13,64,0.009631,0.136660,0.107367,5.885597,
0.200000,23,100,10,20,0.200000,20,0.111111,0.200000,0.200000,0.200000,0.624375,0.028648,4,16,16,64,0.010957,0.143349,0.114700,5.398635,
0.200000,47,100,10,20,0.200000,20,0.111111,0.350000,0.350000,0.350000,0.667500,0.039127,7,13,13,67,0.010044,0.136600,0.097474,5.603194,
0.200000,91,100,10,20,0.200000,20,0.111111,0.600000,0.600000,0.600000,0.766250,0.302699,12,8,8,72,0.013573,0.443031,0.140333,5.366369,
0.200000,137,100,10,20,0.200000,20,0.111111,0.391304,0.346154,0.450000,0.728437,0.091196,9,17,11,63,0.009647,0.193878,0.102682,5.436193,
0.250000,11,100,10,25,0.200000,20,0.111111,0.350000,0.350000,0.350000,0.625000,0.028656,7,13,13,67,0.009855,0.126210,0.097554,5.648245,
0.250000,23,100,10,25,0.200000,20,0.111111,0.418605,0.391304,0.450000,0.709375,0.063804,9,14,11,66,0.010907,0.167450,0.103647,5.654764,
0.250000,47,100,10,25,0.200000,20,0.111111,0.300000,0.300000,0.300000,0.629688,0.031337,6,14,14,66,0.010593,0.117944,0.086607,5.469239,
0.250000,91,100,10,25,0.200000,20,0.111111,0.600000,0.600000,0.600000,0.806875,0.341055,12,8,8,72,0.012377,0.461208,0.120153,5.535003,
0.250000,137,100,10,25,0.200000,20,0.111111,0.444444,0.400000,0.500000,0.764062,0.111083,10,15,10,65,0.009762,0.212011,0.100928,5.445712,
0.300000,11,100,10,30,0.200000,20,0.111111,0.400000,0.400000,0.400000,0.679375,0.045875,8,12,12,68,0.009770,0.133434,0.087559,5.381014,
0.300000,23,100,10,30,0.200000,20,0.111111,0.390244,0.380952,0.400000,0.712813,0.063633,8,13,12,67,0.010898,0.164838,0.101205,5.506726,
0.300000,47,100,10,30,0.200000,20,0.111111,0.250000,0.250000,0.250000,0.666875,0.038770,5,15,15,65,0.010470,0.124074,0.085305,5.466924,
0.300000,91,100,10,30,0.200000,20,0.111111,0.600000,0.600000,0.600000,0.825313,0.354855,12,8,8,72,0.012222,0.462785,0.107930,5.490119,
0.300000,137,100,10,30,0.200000,20,0.111111,0.536585,0.523810,0.550000,0.775625,0.121977,11,10,9,70,0.009796,0.212258,0.090281,5.509705,
0.400000,11,100,10,40,0.200000,20,0.111111,0.500000,0.500000,0.500000,0.782500,0.130883,10,10,10,70,0.009739,0.205584,0.074701,5.411602,
0.400000,23,100,10,40,0.200000,20,0.111111,0.500000,0.500000,0.500000,0.735313,0.085043,10,10,10,70,0.010810,0.176577,0.091535,5.610357,
0.400000,47,100,10,40,0.200000,20,0.111111,0.650000,0.650000,0.650000,0.805312,0.102769,13,7,7,73,0.010365,0.166890,0.064121,5.504830,
0.400000,91,100,10,40,0.200000,20,0.111111,0.600000,0.600000,0.600000,0.821562,0.350385,12,8,8,72,0.011513,0.464680,0.114294,5.760010,
0.400000,137,100,10,40,0.200000,20,0.111111,0.500000,0.500000,0.500000,0.804375,0.152337,10,10,10,70,0.010680,0.245833,0.093496,5.451076,
0.500000,11,100,10,50,0.200000,20,0.111111,0.550000,0.550000,0.550000,0.818750,0.155725,11,9,9,71,0.009627,0.222459,0.066734,6.317982,
0.500000,23,100,10,50,0.200000,20,0.111111,0.500000,0.500000,0.500000,0.795000,0.108006,10,10,10,70,0.010825,0.194987,0.086980,6.486250,
0.500000,47,100,10,50,0.200000,20,0.111111,0.650000,0.650000,0.650000,0.836562,0.121254,13,7,7,73,0.011287,0.183512,0.062258,6.405491,
0.500000,91,100,10,50,0.200000,20,0.111111,0.500000,0.500000,0.500000,0.838750,0.368236,10,10,10,70,0.011576,0.488146,0.119910,6.872251,
0.500000,137,100,10,50,0.200000,20,0.111111,0.550000,0.550000,0.550000,0.825000,0.242427,11,9,9,71,0.010657,0.337753,0.095326,6.399514,
